symbol,datetime,open,high,low,close,volume,DERIVATIVE_TYPE,YEAR,MONTH,DATE,TIME,expiry,option_type,strike,open_interest,ATM
NIFTY,2026-01-01 09:15:00,26332.0,26339.6,26319.6,26333.0,51805,F,2026.0,1.0,2026-01-01,09:15:59,I,,,14046305.0,
NIFTY,2026-01-01 09:16:00,26333.0,26333.1,26311.2,26326.0,33085,F,2026.0,1.0,2026-01-01,09:16:59,I,,,14046305.0,
NIFTY,2026-01-01 09:17:00,26326.0,26333.0,26320.0,26330.0,23335,F,2026.0,1.0,2026-01-01,09:17:59,I,,,14046305.0,
NIFTY,2026-01-01 09:18:00,26330.0,26330.0,26320.0,26324.0,20930,F,2026.0,1.0,2026-01-01,09:18:59,I,,,14061710.0,
NIFTY,2026-01-01 09:19:00,26324.0,26324.0,26307.0,26311.7,27040,F,2026.0,1.0,2026-01-01,09:19:59,I,,,14061710.0,
NIFTY,2026-01-01 09:20:00,26311.7,26314.9,26301.7,26308.8,28275,F,2026.0,1.0,2026-01-01,09:20:59,I,,,14061710.0,
NIFTY,2026-01-01 09:21:00,26308.8,26322.3,26302.3,26313.6,19045,F,2026.0,1.0,2026-01-01,09:21:59,I,,,14065740.0,
NIFTY,2026-01-01 09:22:00,26313.9,26315.0,26305.0,26305.0,5655,F,2026.0,1.0,2026-01-01,09:22:59,I,,,14065740.0,
NIFTY,2026-01-01 09:23:00,26305.0,26308.9,26301.1,26304.2,5850,F,2026.0,1.0,2026-01-01,09:23:59,I,,,14065740.0,
NIFTY,2026-01-01 09:24:00,26304.2,26306.9,26300.0,26302.9,9490,F,2026.0,1.0,2026-01-01,09:24:59,I,,,14068600.0,
NIFTY,2026-01-01 09:25:00,26302.9,26306.3,26300.0,26302.0,13650,F,2026.0,1.0,2026-01-01,09:25:59,I,,,14068600.0,
NIFTY,2026-01-01 09:26:00,26302.0,26309.0,26291.0,26292.9,15340,F,2026.0,1.0,2026-01-01,09:26:59,I,,,14068600.0,
NIFTY,2026-01-01 09:27:00,26291.0,26298.5,26290.0,26293.0,12805,F,2026.0,1.0,2026-01-01,09:27:59,I,,,14068600.0,
NIFTY,2026-01-01 09:28:00,26293.0,26309.9,26293.0,26309.9,6825,F,2026.0,1.0,2026-01-01,09:28:59,I,,,14078090.0,
NIFTY,2026-01-01 09:29:00,26309.9,26324.1,26309.9,26324.1,13065,F,2026.0,1.0,2026-01-01,09:29:59,I,,,14078090.0,
NIFTY,2026-01-01 09:30:00,26324.1,26324.1,26311.4,26319.7,28925,F,2026.0,1.0,2026-01-01,09:30:59,I,,,14078090.0,
NIFTY,2026-01-01 09:31:00,26319.6,26321.5,26300.0,26310.6,17030,F,2026.0,1.0,2026-01-01,09:31:59,I,,,14076920.0,
NIFTY,2026-01-01 09:32:00,26310.6,26318.7,26307.2,26315.0,9880,F,2026.0,1.0,2026-01-01,09:32:59,I,,,14076920.0,
NIFTY,2026-01-01 09:33:00,26315.0,26315.0,26305.0,26305.0,4810,F,2026.0,1.0,2026-01-01,09:33:59,I,,,14076920.0,
NIFTY,2026-01-01 09:34:00,26305.0,26315.0,26305.0,26315.0,3315,F,2026.0,1.0,2026-01-01,09:34:59,I,,,14082185.0,
NIFTY,2026-01-01 09:35:00,26315.0,26315.0,26307.4,26313.0,2925,F,2026.0,1.0,2026-01-01,09:35:59,I,,,14082185.0,
NIFTY,2026-01-01 09:36:00,26313.0,26315.0,26305.0,26306.7,7995,F,2026.0,1.0,2026-01-01,09:36:59,I,,,14082185.0,
NIFTY,2026-01-01 09:37:00,26306.7,26307.0,26297.5,26303.3,9945,F,2026.0,1.0,2026-01-01,09:37:59,I,,,14079975.0,
NIFTY,2026-01-01 09:38:00,26303.3,26309.7,26300.0,26306.0,7800,F,2026.0,1.0,2026-01-01,09:38:59,I,,,14079975.0,
NIFTY,2026-01-01 09:39:00,26306.0,26306.0,26297.0,26300.0,4160,F,2026.0,1.0,2026-01-01,09:39:59,I,,,14079975.0,
NIFTY,2026-01-01 09:40:00,26300.0,26310.0,26297.0,26310.0,3770,F,2026.0,1.0,2026-01-01,09:40:59,I,,,14081600.0,
NIFTY,2026-01-01 09:41:00,26310.0,26315.0,26305.0,26311.0,3835,F,2026.0,1.0,2026-01-01,09:41:59,I,,,14081600.0,
NIFTY,2026-01-01 09:42:00,26311.0,26313.9,26303.0,26307.1,4030,F,2026.0,1.0,2026-01-01,09:42:59,I,,,14081600.0,
NIFTY,2026-01-01 09:43:00,26307.1,26320.0,26305.7,26320.0,7280,F,2026.0,1.0,2026-01-01,09:43:59,I,,,14082770.0,
NIFTY,2026-01-01 09:44:00,26320.0,26323.7,26315.1,26315.1,8060,F,2026.0,1.0,2026-01-01,09:44:59,I,,,14082770.0,
NIFTY,2026-01-01 09:45:00,26315.1,26321.2,26306.0,26306.0,3705,F,2026.0,1.0,2026-01-01,09:45:59,I,,,14082770.0,
NIFTY,2026-01-01 09:46:00,26306.0,26313.4,26304.0,26304.0,2210,F,2026.0,1.0,2026-01-01,09:46:59,I,,,14083355.0,
NIFTY,2026-01-01 09:47:00,26304.0,26310.0,26303.0,26310.0,2340,F,2026.0,1.0,2026-01-01,09:47:59,I,,,14083355.0,
NIFTY,2026-01-01 09:48:00,26310.0,26314.2,26306.4,26313.3,3770,F,2026.0,1.0,2026-01-01,09:48:59,I,,,14083355.0,
NIFTY,2026-01-01 09:49:00,26313.3,26324.0,26311.0,26324.0,10010,F,2026.0,1.0,2026-01-01,09:49:59,I,,,14083875.0,
NIFTY,2026-01-01 09:50:00,26324.0,26325.0,26318.5,26325.0,6045,F,2026.0,1.0,2026-01-01,09:50:59,I,,,14083875.0,
NIFTY,2026-01-01 09:51:00,26325.0,26325.0,26319.0,26324.8,3835,F,2026.0,1.0,2026-01-01,09:51:59,I,,,14083875.0,
NIFTY,2026-01-01 09:52:00,26324.8,26330.0,26322.0,26326.1,8450,F,2026.0,1.0,2026-01-01,09:52:59,I,,,14081340.0,
NIFTY,2026-01-01 09:53:00,26326.1,26330.0,26320.0,26320.1,6305,F,2026.0,1.0,2026-01-01,09:53:59,I,,,14081340.0,
NIFTY,2026-01-01 09:54:00,26320.1,26327.0,26318.1,26320.0,10335,F,2026.0,1.0,2026-01-01,09:54:59,I,,,14081340.0,
NIFTY,2026-01-01 09:55:00,26319.1,26325.7,26319.1,26322.6,3640,F,2026.0,1.0,2026-01-01,09:55:59,I,,,14078025.0,
NIFTY,2026-01-01 09:56:00,26325.0,26325.8,26320.9,26320.9,2990,F,2026.0,1.0,2026-01-01,09:56:59,I,,,14078025.0,
NIFTY,2026-01-01 09:57:00,26320.9,26320.9,26315.0,26315.0,5720,F,2026.0,1.0,2026-01-01,09:57:59,I,,,14078025.0,
NIFTY,2026-01-01 09:58:00,26315.0,26315.0,26294.0,26295.0,9815,F,2026.0,1.0,2026-01-01,09:58:59,I,,,14081600.0,
NIFTY,2026-01-01 09:59:00,26293.0,26298.3,26290.5,26293.0,6175,F,2026.0,1.0,2026-01-01,09:59:59,I,,,14081600.0,
NIFTY,2026-01-01 10:00:00,26293.0,26300.0,26291.0,26300.0,8060,F,2026.0,1.0,2026-01-01,10:00:59,I,,,14081600.0,
NIFTY,2026-01-01 10:01:00,26300.0,26307.9,26295.6,26298.6,2470,F,2026.0,1.0,2026-01-01,10:01:59,I,,,14082445.0,
NIFTY,2026-01-01 10:02:00,26298.0,26307.9,26294.3,26307.9,7085,F,2026.0,1.0,2026-01-01,10:02:59,I,,,14082445.0,
NIFTY,2026-01-01 10:03:00,26307.9,26307.9,26300.1,26301.0,1105,F,2026.0,1.0,2026-01-01,10:03:59,I,,,14082445.0,
NIFTY,2026-01-01 10:04:00,26301.0,26311.5,26300.0,26301.2,3900,F,2026.0,1.0,2026-01-01,10:04:59,I,,,14082510.0,
NIFTY,2026-01-01 10:05:00,26301.2,26309.5,26301.2,26308.8,2990,F,2026.0,1.0,2026-01-01,10:05:59,I,,,14082510.0,
NIFTY,2026-01-01 10:06:00,26308.8,26308.8,26300.5,26308.4,2600,F,2026.0,1.0,2026-01-01,10:06:59,I,,,14082510.0,
NIFTY,2026-01-01 10:07:00,26308.4,26312.0,26302.0,26312.0,3380,F,2026.0,1.0,2026-01-01,10:07:59,I,,,14083485.0,
NIFTY,2026-01-01 10:08:00,26312.0,26312.0,26306.0,26309.0,3185,F,2026.0,1.0,2026-01-01,10:08:59,I,,,14083485.0,
NIFTY,2026-01-01 10:09:00,26309.0,26310.0,26300.0,26301.9,4810,F,2026.0,1.0,2026-01-01,10:09:59,I,,,14083485.0,
NIFTY,2026-01-01 10:10:00,26301.9,26301.9,26295.0,26300.0,2405,F,2026.0,1.0,2026-01-01,10:10:59,I,,,14083680.0,
NIFTY,2026-01-01 10:11:00,26300.0,26301.0,26294.0,26294.9,3640,F,2026.0,1.0,2026-01-01,10:11:59,I,,,14083680.0,
