symbol,datetime,open,high,low,close,volume,DERIVATIVE_TYPE,YEAR,MONTH,DATE,TIME,expiry,option_type,strike,open_interest,ATM
NIFTY,2026-05-15 09:15:00,23743.0,23780.0,23700.0,23700.0,96915,F,2026.0,5.0,2026-05-15,09:15:59,I,,,17662775.0,
NIFTY,2026-05-15 09:16:00,23705.4,23741.0,23680.5,23740.0,85865,F,2026.0,5.0,2026-05-15,09:16:59,I,,,17682210.0,
NIFTY,2026-05-15 09:17:00,23740.0,23769.9,23731.2,23734.4,63635,F,2026.0,5.0,2026-05-15,09:17:59,I,,,17703725.0,
NIFTY,2026-05-15 09:18:00,23734.4,23769.0,23734.4,23750.1,23335,F,2026.0,5.0,2026-05-15,09:18:59,I,,,17687865.0,
NIFTY,2026-05-15 09:19:00,23754.0,23754.0,23730.0,23730.0,16770,F,2026.0,5.0,2026-05-15,09:19:59,I,,,17678765.0,
NIFTY,2026-05-15 09:20:00,23730.0,23754.2,23725.2,23740.0,31720,F,2026.0,5.0,2026-05-15,09:20:59,I,,,17676555.0,
NIFTY,2026-05-15 09:21:00,23740.0,23758.6,23730.4,23740.0,30290,F,2026.0,5.0,2026-05-15,09:21:59,I,,,17693520.0,
NIFTY,2026-05-15 09:22:00,23742.3,23766.0,23721.5,23745.1,43095,F,2026.0,5.0,2026-05-15,09:22:59,I,,,17695275.0,
NIFTY,2026-05-15 09:23:00,23745.1,23761.3,23744.7,23760.0,14690,F,2026.0,5.0,2026-05-15,09:23:59,I,,,17691960.0,
NIFTY,2026-05-15 09:24:00,23753.9,23782.0,23753.9,23780.0,31525,F,2026.0,5.0,2026-05-15,09:24:59,I,,,17690465.0,
NIFTY,2026-05-15 09:25:00,23777.0,23786.0,23770.0,23770.0,24115,F,2026.0,5.0,2026-05-15,09:25:59,I,,,17694495.0,
NIFTY,2026-05-15 09:26:00,23771.5,23779.0,23753.0,23766.9,18330,F,2026.0,5.0,2026-05-15,09:26:59,I,,,17693845.0,
NIFTY,2026-05-15 09:27:00,23778.0,23798.6,23766.5,23791.1,35295,F,2026.0,5.0,2026-05-15,09:27:59,I,,,17695275.0,
NIFTY,2026-05-15 09:28:00,23791.1,23799.0,23785.0,23793.0,24765,F,2026.0,5.0,2026-05-15,09:28:59,I,,,17693585.0,
NIFTY,2026-05-15 09:29:00,23793.0,23801.0,23790.0,23797.0,51350,F,2026.0,5.0,2026-05-15,09:29:59,I,,,17684160.0,
NIFTY,2026-05-15 09:30:00,23788.1,23799.0,23767.9,23770.0,47905,F,2026.0,5.0,2026-05-15,09:30:59,I,,,17684225.0,
NIFTY,2026-05-15 09:31:00,23770.0,23789.7,23757.0,23789.7,25480,F,2026.0,5.0,2026-05-15,09:31:59,I,,,17681365.0,
NIFTY,2026-05-15 09:32:00,23789.7,23790.0,23769.7,23780.0,15925,F,2026.0,5.0,2026-05-15,09:32:59,I,,,17682340.0,
NIFTY,2026-05-15 09:33:00,23780.0,23790.0,23772.0,23772.0,16055,F,2026.0,5.0,2026-05-15,09:33:59,I,,,17678440.0,
NIFTY,2026-05-15 09:34:00,23772.0,23779.0,23752.9,23758.3,27885,F,2026.0,5.0,2026-05-15,09:34:59,I,,,17674540.0,
NIFTY,2026-05-15 09:35:00,23758.3,23768.0,23741.9,23756.3,32565,F,2026.0,5.0,2026-05-15,09:35:59,I,,,17675320.0,
NIFTY,2026-05-15 09:36:00,23756.3,23756.3,23737.0,23745.0,17030,F,2026.0,5.0,2026-05-15,09:36:59,I,,,17678960.0,
NIFTY,2026-05-15 09:37:00,23745.0,23758.8,23738.9,23758.8,14300,F,2026.0,5.0,2026-05-15,09:37:59,I,,,17681950.0,
NIFTY,2026-05-15 09:38:00,23758.8,23770.0,23758.8,23770.0,5070,F,2026.0,5.0,2026-05-15,09:38:59,I,,,17680390.0,
NIFTY,2026-05-15 09:39:00,23770.0,23779.0,23767.5,23778.0,5200,F,2026.0,5.0,2026-05-15,09:39:59,I,,,17679610.0,
NIFTY,2026-05-15 09:40:00,23778.0,23783.5,23772.1,23780.0,7215,F,2026.0,5.0,2026-05-15,09:40:59,I,,,17677790.0,
NIFTY,2026-05-15 09:41:00,23780.0,23790.0,23773.9,23789.0,42120,F,2026.0,5.0,2026-05-15,09:41:59,I,,,17679220.0,
NIFTY,2026-05-15 09:42:00,23789.0,23800.0,23789.0,23800.0,38545,F,2026.0,5.0,2026-05-15,09:42:59,I,,,17689685.0,
NIFTY,2026-05-15 09:43:00,23800.0,23815.5,23794.8,23812.0,67665,F,2026.0,5.0,2026-05-15,09:43:59,I,,,17696055.0,
NIFTY,2026-05-15 09:44:00,23800.5,23818.0,23796.5,23818.0,20085,F,2026.0,5.0,2026-05-15,09:44:59,I,,,17707105.0,
