symbol,datetime,open,high,low,close,volume,DERIVATIVE_TYPE,YEAR,MONTH,DATE,TIME,expiry,option_type,strike,open_interest,ATM
NIFTY,2026-04-23 09:15:00,24160.0,24188.0,24125.0,24132.8,187395,F,2026.0,4.0,2026-04-23,09:15:59,I,,,16227575.0,
NIFTY,2026-04-23 09:16:00,24132.8,24165.0,24125.0,24165.0,75855,F,2026.0,4.0,2026-04-23,09:16:59,I,,,16262220.0,
NIFTY,2026-04-23 09:17:00,24161.4,24185.6,24160.7,24172.0,59930,F,2026.0,4.0,2026-04-23,09:17:59,I,,,16262220.0,
NIFTY,2026-04-23 09:18:00,24172.0,24178.0,24168.0,24177.0,61230,F,2026.0,4.0,2026-04-23,09:18:59,I,,,16262220.0,
NIFTY,2026-04-23 09:19:00,24177.0,24183.0,24177.0,24183.0,24375,F,2026.0,4.0,2026-04-23,09:19:59,I,,,16287375.0,
NIFTY,2026-04-23 09:20:00,24183.0,24190.9,24173.5,24190.9,30550,F,2026.0,4.0,2026-04-23,09:20:59,I,,,16287375.0,
NIFTY,2026-04-23 09:21:00,24190.9,24198.0,24190.0,24198.0,33605,F,2026.0,4.0,2026-04-23,09:21:59,I,,,16287375.0,
NIFTY,2026-04-23 09:22:00,24198.0,24198.0,24180.0,24190.0,26325,F,2026.0,4.0,2026-04-23,09:22:59,I,,,16291145.0,
NIFTY,2026-04-23 09:23:00,24190.0,24199.9,24181.0,24185.0,27625,F,2026.0,4.0,2026-04-23,09:23:59,I,,,16291145.0,
NIFTY,2026-04-23 09:24:00,24185.0,24196.7,24175.0,24176.3,36985,F,2026.0,4.0,2026-04-23,09:24:59,I,,,16291145.0,
NIFTY,2026-04-23 09:25:00,24176.3,24194.0,24171.2,24176.0,30225,F,2026.0,4.0,2026-04-23,09:25:59,I,,,16325790.0,
NIFTY,2026-04-23 09:26:00,24176.0,24176.0,24165.0,24172.5,28080,F,2026.0,4.0,2026-04-23,09:26:59,I,,,16325790.0,
NIFTY,2026-04-23 09:27:00,24172.5,24185.0,24169.9,24185.0,21320,F,2026.0,4.0,2026-04-23,09:27:59,I,,,16325790.0,
NIFTY,2026-04-23 09:28:00,24185.0,24199.9,24185.0,24195.0,23400,F,2026.0,4.0,2026-04-23,09:28:59,I,,,16349840.0,
NIFTY,2026-04-23 09:29:00,24195.0,24199.0,24194.1,24199.0,24375,F,2026.0,4.0,2026-04-23,09:29:59,I,,,16349840.0,
NIFTY,2026-04-23 09:30:00,24199.0,24205.0,24185.0,24204.9,49985,F,2026.0,4.0,2026-04-23,09:30:59,I,,,16349840.0,
NIFTY,2026-04-23 09:31:00,24204.9,24225.0,24198.6,24210.0,42120,F,2026.0,4.0,2026-04-23,09:31:59,I,,,16340285.0,
NIFTY,2026-04-23 09:32:00,24210.0,24210.0,24192.0,24200.0,23270,F,2026.0,4.0,2026-04-23,09:32:59,I,,,16340285.0,
NIFTY,2026-04-23 09:33:00,24200.0,24203.0,24180.1,24180.1,19175,F,2026.0,4.0,2026-04-23,09:33:59,I,,,16340285.0,
NIFTY,2026-04-23 09:34:00,24180.1,24196.0,24176.0,24183.0,15275,F,2026.0,4.0,2026-04-23,09:34:59,I,,,16334890.0,
NIFTY,2026-04-23 09:35:00,24183.0,24189.0,24177.0,24180.0,15795,F,2026.0,4.0,2026-04-23,09:35:59,I,,,16334890.0,
NIFTY,2026-04-23 09:36:00,24180.0,24184.5,24165.9,24167.1,24180,F,2026.0,4.0,2026-04-23,09:36:59,I,,,16334890.0,
NIFTY,2026-04-23 09:37:00,24167.1,24192.6,24166.7,24186.9,11505,F,2026.0,4.0,2026-04-23,09:37:59,I,,,16326765.0,
NIFTY,2026-04-23 09:38:00,24186.9,24189.0,24175.1,24189.0,13975,F,2026.0,4.0,2026-04-23,09:38:59,I,,,16326765.0,
NIFTY,2026-04-23 09:39:00,24189.0,24198.0,24181.2,24186.0,15990,F,2026.0,4.0,2026-04-23,09:39:59,I,,,16326765.0,
NIFTY,2026-04-23 09:40:00,24186.0,24188.0,24176.0,24185.0,8710,F,2026.0,4.0,2026-04-23,09:40:59,I,,,16299855.0,
NIFTY,2026-04-23 09:41:00,24185.0,24202.0,24183.8,24202.0,20540,F,2026.0,4.0,2026-04-23,09:41:59,I,,,16299855.0,
NIFTY,2026-04-23 09:42:00,24202.0,24214.0,24200.0,24212.0,17160,F,2026.0,4.0,2026-04-23,09:42:59,I,,,16299855.0,
NIFTY,2026-04-23 09:43:00,24212.0,24222.9,24211.8,24215.6,14885,F,2026.0,4.0,2026-04-23,09:43:59,I,,,16286660.0,
