symbol,datetime,open,high,low,close,volume,DERIVATIVE_TYPE,YEAR,MONTH,DATE,TIME,expiry,option_type,strike,open_interest,ATM
NIFTY,2026-02-05 09:15:00,25799.0,25799.0,25771.1,25788.5,60840,F,2026.0,2.0,2026-02-05,09:15:59,I,,,15486380.0,
NIFTY,2026-02-05 09:16:00,25785.0,25800.0,25781.8,25785.0,27105,F,2026.0,2.0,2026-02-05,09:16:59,I,,,15486380.0,
NIFTY,2026-02-05 09:17:00,25789.9,25808.9,25785.0,25803.8,22100,F,2026.0,2.0,2026-02-05,09:17:59,I,,,15486380.0,
NIFTY,2026-02-05 09:18:00,25803.8,25812.7,25795.0,25806.4,19175,F,2026.0,2.0,2026-02-05,09:18:59,I,,,15494570.0,
NIFTY,2026-02-05 09:19:00,25808.0,25811.8,25792.6,25792.6,28990,F,2026.0,2.0,2026-02-05,09:19:59,I,,,15494570.0,
NIFTY,2026-02-05 09:20:00,25792.6,25792.8,25766.0,25768.6,31395,F,2026.0,2.0,2026-02-05,09:20:59,I,,,15494570.0,
NIFTY,2026-02-05 09:21:00,25769.9,25769.9,25756.7,25759.7,31655,F,2026.0,2.0,2026-02-05,09:21:59,I,,,15511730.0,
NIFTY,2026-02-05 09:22:00,25759.7,25760.1,25750.1,25752.0,40885,F,2026.0,2.0,2026-02-05,09:22:59,I,,,15511730.0,
NIFTY,2026-02-05 09:23:00,25752.0,25765.5,25752.0,25756.8,44135,F,2026.0,2.0,2026-02-05,09:23:59,I,,,15511730.0,
NIFTY,2026-02-05 09:24:00,25756.8,25762.4,25749.3,25753.4,48945,F,2026.0,2.0,2026-02-05,09:24:59,I,,,15528370.0,
NIFTY,2026-02-05 09:25:00,25753.5,25759.2,25749.0,25750.0,34775,F,2026.0,2.0,2026-02-05,09:25:59,I,,,15528370.0,
NIFTY,2026-02-05 09:26:00,25748.9,25769.0,25748.9,25762.8,31395,F,2026.0,2.0,2026-02-05,09:26:59,I,,,15528370.0,
NIFTY,2026-02-05 09:27:00,25761.5,25761.5,25747.5,25747.5,29445,F,2026.0,2.0,2026-02-05,09:27:59,I,,,15528370.0,
NIFTY,2026-02-05 09:28:00,25747.5,25757.4,25745.9,25752.0,18070,F,2026.0,2.0,2026-02-05,09:28:59,I,,,15570555.0,
NIFTY,2026-02-05 09:29:00,25752.0,25767.0,25750.9,25767.0,21840,F,2026.0,2.0,2026-02-05,09:29:59,I,,,15570555.0,
NIFTY,2026-02-05 09:30:00,25767.0,25780.0,25766.8,25774.0,20735,F,2026.0,2.0,2026-02-05,09:30:59,I,,,15570555.0,
NIFTY,2026-02-05 09:31:00,25774.0,25788.0,25772.0,25780.1,24310,F,2026.0,2.0,2026-02-05,09:31:59,I,,,15597530.0,
NIFTY,2026-02-05 09:32:00,25780.1,25794.0,25780.0,25784.6,17745,F,2026.0,2.0,2026-02-05,09:32:59,I,,,15597530.0,
NIFTY,2026-02-05 09:33:00,25784.6,25796.0,25775.0,25779.8,18785,F,2026.0,2.0,2026-02-05,09:33:59,I,,,15597530.0,
