symbol,datetime,open,high,low,close,volume,DERIVATIVE_TYPE,YEAR,MONTH,DATE,TIME,expiry,option_type,strike,open_interest,ATM
NIFTY,2026-02-24 09:15:00,25616.3,25640.4,25590.1,25592.7,43420,F,2026.0,2.0,2026-02-24,09:15:59,I,,,9304555.0,
NIFTY,2026-02-24 09:16:00,25592.8,25615.0,25590.0,25609.9,34905,F,2026.0,2.0,2026-02-24,09:16:59,I,,,9305790.0,
NIFTY,2026-02-24 09:17:00,25608.1,25618.5,25600.0,25602.5,45305,F,2026.0,2.0,2026-02-24,09:17:59,I,,,9305790.0,
NIFTY,2026-02-24 09:18:00,25602.5,25602.5,25581.1,25582.0,58305,F,2026.0,2.0,2026-02-24,09:18:59,I,,,9305790.0,
NIFTY,2026-02-24 09:19:00,25585.0,25586.8,25575.0,25575.8,33605,F,2026.0,2.0,2026-02-24,09:19:59,I,,,9317295.0,
NIFTY,2026-02-24 09:20:00,25575.8,25581.2,25572.0,25575.3,34710,F,2026.0,2.0,2026-02-24,09:20:59,I,,,9317295.0,
NIFTY,2026-02-24 09:21:00,25575.3,25583.0,25564.0,25564.0,25545,F,2026.0,2.0,2026-02-24,09:21:59,I,,,9317295.0,
NIFTY,2026-02-24 09:22:00,25564.0,25564.9,25544.3,25553.3,52780,F,2026.0,2.0,2026-02-24,09:22:59,I,,,9309950.0,
NIFTY,2026-02-24 09:23:00,25553.3,25568.0,25548.6,25557.6,12025,F,2026.0,2.0,2026-02-24,09:23:59,I,,,9309950.0,
NIFTY,2026-02-24 09:24:00,25559.0,25560.0,25552.8,25560.0,6110,F,2026.0,2.0,2026-02-24,09:24:59,I,,,9309950.0,
NIFTY,2026-02-24 09:25:00,25560.0,25563.7,25550.0,25550.9,12025,F,2026.0,2.0,2026-02-24,09:25:59,I,,,9305790.0,
NIFTY,2026-02-24 09:26:00,25550.9,25555.4,25545.0,25555.4,15600,F,2026.0,2.0,2026-02-24,09:26:59,I,,,9305790.0,
NIFTY,2026-02-24 09:27:00,25554.0,25574.0,25551.1,25572.8,13455,F,2026.0,2.0,2026-02-24,09:27:59,I,,,9305790.0,
NIFTY,2026-02-24 09:28:00,25572.8,25573.5,25555.0,25558.5,34190,F,2026.0,2.0,2026-02-24,09:28:59,I,,,9299745.0,
NIFTY,2026-02-24 09:29:00,25555.0,25563.0,25553.0,25553.0,9490,F,2026.0,2.0,2026-02-24,09:29:59,I,,,9299745.0,
NIFTY,2026-02-24 09:30:00,25553.0,25553.1,25537.0,25538.3,27625,F,2026.0,2.0,2026-02-24,09:30:59,I,,,9299745.0,
NIFTY,2026-02-24 09:31:00,25538.3,25549.7,25533.7,25536.0,23790,F,2026.0,2.0,2026-02-24,09:31:59,I,,,9290255.0,
NIFTY,2026-02-24 09:32:00,25536.0,25542.5,25525.2,25526.1,49465,F,2026.0,2.0,2026-02-24,09:32:59,I,,,9290255.0,
NIFTY,2026-02-24 09:33:00,25526.1,25526.1,25503.0,25512.3,33345,F,2026.0,2.0,2026-02-24,09:33:59,I,,,9290255.0,
NIFTY,2026-02-24 09:34:00,25512.0,25518.0,25506.0,25510.6,41535,F,2026.0,2.0,2026-02-24,09:34:59,I,,,9240270.0,
NIFTY,2026-02-24 09:35:00,25510.6,25519.5,25505.1,25510.9,16965,F,2026.0,2.0,2026-02-24,09:35:59,I,,,9240270.0,
