symbol,datetime,open,high,low,close,volume,DERIVATIVE_TYPE,YEAR,MONTH,DATE,TIME,expiry,option_type,strike,open_interest,ATM
NIFTY,2026-04-01 09:15:00,22850.0,22920.0,22845.0,22915.3,544700,F,2026.0,4.0,2026-04-01,09:15:59,I,,,21026525.0,
NIFTY,2026-04-01 09:16:00,22915.3,22920.0,22877.8,22890.0,172185,F,2026.0,4.0,2026-04-01,09:16:59,I,,,21026525.0,
NIFTY,2026-04-01 09:17:00,22890.7,22940.0,22890.0,22935.0,164645,F,2026.0,4.0,2026-04-01,09:17:59,I,,,21026525.0,
NIFTY,2026-04-01 09:18:00,22935.0,22963.9,22932.9,22954.8,120900,F,2026.0,4.0,2026-04-01,09:18:59,I,,,21018920.0,
NIFTY,2026-04-01 09:19:00,22954.8,22968.8,22953.6,22964.0,85865,F,2026.0,4.0,2026-04-01,09:19:59,I,,,21018920.0,
NIFTY,2026-04-01 09:20:00,22964.0,22980.0,22960.1,22966.9,111410,F,2026.0,4.0,2026-04-01,09:20:59,I,,,21018920.0,
NIFTY,2026-04-01 09:21:00,22966.9,22971.6,22944.0,22963.4,92950,F,2026.0,4.0,2026-04-01,09:21:59,I,,,21029190.0,
NIFTY,2026-04-01 09:22:00,22963.4,22970.0,22951.7,22959.9,52260,F,2026.0,4.0,2026-04-01,09:22:59,I,,,21029190.0,
NIFTY,2026-04-01 09:23:00,22959.9,22970.0,22950.7,22951.0,46930,F,2026.0,4.0,2026-04-01,09:23:59,I,,,21029190.0,
NIFTY,2026-04-01 09:24:00,22951.0,22969.0,22951.0,22968.0,35035,F,2026.0,4.0,2026-04-01,09:24:59,I,,,21015150.0,
NIFTY,2026-04-01 09:25:00,22968.0,22980.0,22964.9,22979.0,50375,F,2026.0,4.0,2026-04-01,09:25:59,I,,,21015150.0,
NIFTY,2026-04-01 09:26:00,22979.0,22984.2,22970.3,22970.6,80665,F,2026.0,4.0,2026-04-01,09:26:59,I,,,21015150.0,
NIFTY,2026-04-01 09:27:00,22970.6,22985.6,22970.1,22980.0,45955,F,2026.0,4.0,2026-04-01,09:27:59,I,,,21018075.0,
NIFTY,2026-04-01 09:28:00,22980.0,22990.0,22975.5,22990.0,25675,F,2026.0,4.0,2026-04-01,09:28:59,I,,,21018075.0,
NIFTY,2026-04-01 09:29:00,22990.0,23000.0,22989.4,22998.1,80925,F,2026.0,4.0,2026-04-01,09:29:59,I,,,21018075.0,
NIFTY,2026-04-01 09:30:00,22998.1,23013.0,22984.8,22989.0,99060,F,2026.0,4.0,2026-04-01,09:30:59,I,,,21034130.0,
NIFTY,2026-04-01 09:31:00,22989.0,22999.1,22972.6,22972.6,60515,F,2026.0,4.0,2026-04-01,09:31:59,I,,,21034130.0,
NIFTY,2026-04-01 09:32:00,22972.6,22980.0,22928.4,22930.0,83200,F,2026.0,4.0,2026-04-01,09:32:59,I,,,21034130.0,
NIFTY,2026-04-01 09:33:00,22930.0,22943.9,22930.0,22931.0,31525,F,2026.0,4.0,2026-04-01,09:33:59,I,,,21047585.0,
NIFTY,2026-04-01 09:34:00,22931.0,22939.3,22923.9,22925.3,42575,F,2026.0,4.0,2026-04-01,09:34:59,I,,,21047585.0,
NIFTY,2026-04-01 09:35:00,22925.3,22930.0,22912.0,22918.0,39520,F,2026.0,4.0,2026-04-01,09:35:59,I,,,21047585.0,
NIFTY,2026-04-01 09:36:00,22918.0,22924.0,22912.0,22919.4,28990,F,2026.0,4.0,2026-04-01,09:36:59,I,,,21039785.0,
