symbol,datetime,open,high,low,close,volume,DERIVATIVE_TYPE,YEAR,MONTH,DATE,TIME,expiry,option_type,strike,open_interest,ATM
NIFTY,2026-01-16 09:15:00,25784.0,25814.1,25769.4,25784.0,92105,F,2026.0,1.0,2026-01-16,09:15:59,I,,,17016610.0,
NIFTY,2026-01-16 09:16:00,25784.0,25791.0,25756.0,25764.0,25610,F,2026.0,1.0,2026-01-16,09:16:59,I,,,17024540.0,
NIFTY,2026-01-16 09:17:00,25770.0,25779.1,25767.5,25773.6,22035,F,2026.0,1.0,2026-01-16,09:17:59,I,,,17024540.0,
NIFTY,2026-01-16 09:18:00,25773.6,25790.8,25771.0,25790.8,17875,F,2026.0,1.0,2026-01-16,09:18:59,I,,,17024540.0,
NIFTY,2026-01-16 09:19:00,25790.8,25807.8,25788.0,25801.7,57980,F,2026.0,1.0,2026-01-16,09:19:59,I,,,17010630.0,
NIFTY,2026-01-16 09:20:00,25801.7,25809.0,25791.4,25798.0,64480,F,2026.0,1.0,2026-01-16,09:20:59,I,,,17010630.0,
NIFTY,2026-01-16 09:21:00,25798.0,25805.8,25795.3,25795.3,25740,F,2026.0,1.0,2026-01-16,09:21:59,I,,,17010630.0,
NIFTY,2026-01-16 09:22:00,25795.3,25805.0,25782.0,25782.0,17615,F,2026.0,1.0,2026-01-16,09:22:59,I,,,17064450.0,
NIFTY,2026-01-16 09:23:00,25782.0,25796.0,25780.0,25784.8,10855,F,2026.0,1.0,2026-01-16,09:23:59,I,,,17064450.0,
NIFTY,2026-01-16 09:24:00,25784.8,25790.1,25775.1,25786.1,41405,F,2026.0,1.0,2026-01-16,09:24:59,I,,,17064450.0,
NIFTY,2026-01-16 09:25:00,25786.1,25790.0,25770.0,25782.6,8645,F,2026.0,1.0,2026-01-16,09:25:59,I,,,17064710.0,
NIFTY,2026-01-16 09:26:00,25782.6,25795.0,25772.0,25789.9,24180,F,2026.0,1.0,2026-01-16,09:26:59,I,,,17064710.0,
NIFTY,2026-01-16 09:27:00,25789.9,25796.0,25780.0,25780.3,18005,F,2026.0,1.0,2026-01-16,09:27:59,I,,,17064710.0,
NIFTY,2026-01-16 09:28:00,25780.3,25795.0,25775.0,25788.8,9750,F,2026.0,1.0,2026-01-16,09:28:59,I,,,17075630.0,
NIFTY,2026-01-16 09:29:00,25788.8,25797.0,25786.5,25793.6,10595,F,2026.0,1.0,2026-01-16,09:29:59,I,,,17075630.0,
NIFTY,2026-01-16 09:30:00,25793.6,25793.6,25780.0,25782.0,26195,F,2026.0,1.0,2026-01-16,09:30:59,I,,,17075630.0,
NIFTY,2026-01-16 09:31:00,25782.0,25782.9,25770.7,25774.3,12805,F,2026.0,1.0,2026-01-16,09:31:59,I,,,17076605.0,
