symbol,datetime,open,high,low,close,volume,DERIVATIVE_TYPE,YEAR,MONTH,DATE,TIME,expiry,option_type,strike,open_interest,ATM
NIFTY,2026-01-22 09:15:00,25330.0,25358.3,25312.0,25344.0,448045,F,2026.0,1.0,2026-01-22,09:15:59,I,,,14766505.0,
NIFTY,2026-01-22 09:16:00,25344.0,25345.0,25320.6,25329.5,55315,F,2026.0,1.0,2026-01-22,09:16:59,I,,,14724320.0,
NIFTY,2026-01-22 09:17:00,25330.0,25337.0,25325.2,25331.9,6045,F,2026.0,1.0,2026-01-22,09:17:59,I,,,14724320.0,
NIFTY,2026-01-22 09:18:00,25331.9,25335.0,25322.0,25322.3,43485,F,2026.0,1.0,2026-01-22,09:18:59,I,,,14724320.0,
NIFTY,2026-01-22 09:19:00,25322.3,25335.0,25318.4,25335.0,11570,F,2026.0,1.0,2026-01-22,09:19:59,I,,,14697930.0,
NIFTY,2026-01-22 09:20:00,25335.0,25346.4,25325.2,25341.1,91715,F,2026.0,1.0,2026-01-22,09:20:59,I,,,14697930.0,
NIFTY,2026-01-22 09:21:00,25350.5,25363.9,25350.5,25360.0,5265,F,2026.0,1.0,2026-01-22,09:21:59,I,,,14697930.0,
NIFTY,2026-01-22 09:22:00,25358.1,25366.0,25346.1,25355.7,7215,F,2026.0,1.0,2026-01-22,09:22:59,I,,,14789905.0,
NIFTY,2026-01-22 09:23:00,25350.2,25356.7,25349.5,25354.8,2210,F,2026.0,1.0,2026-01-22,09:23:59,I,,,14789905.0,
NIFTY,2026-01-22 09:24:00,25352.2,25355.6,25347.7,25355.0,4160,F,2026.0,1.0,2026-01-22,09:24:59,I,,,14789905.0,
NIFTY,2026-01-22 09:25:00,25355.0,25355.0,25343.6,25348.3,1950,F,2026.0,1.0,2026-01-22,09:25:59,I,,,14799850.0,
NIFTY,2026-01-22 09:26:00,25347.1,25377.9,25345.9,25377.9,22880,F,2026.0,1.0,2026-01-22,09:26:59,I,,,14799850.0,
NIFTY,2026-01-22 09:27:00,25376.3,25402.0,25376.3,25393.3,10335,F,2026.0,1.0,2026-01-22,09:27:59,I,,,14799850.0,
NIFTY,2026-01-22 09:28:00,25404.3,25416.9,25395.2,25398.8,45565,F,2026.0,1.0,2026-01-22,09:28:59,I,,,14830400.0,
NIFTY,2026-01-22 09:29:00,25403.9,25410.0,25397.4,25402.3,19175,F,2026.0,1.0,2026-01-22,09:29:59,I,,,14830400.0,
NIFTY,2026-01-22 09:30:00,25409.1,25421.3,25403.5,25420.0,46800,F,2026.0,1.0,2026-01-22,09:30:59,I,,,14830400.0,
NIFTY,2026-01-22 09:31:00,25417.2,25428.0,25416.4,25420.0,32175,F,2026.0,1.0,2026-01-22,09:31:59,I,,,14842360.0,
NIFTY,2026-01-22 09:32:00,25426.7,25428.8,25415.2,25426.0,15795,F,2026.0,1.0,2026-01-22,09:32:59,I,,,14842360.0,
NIFTY,2026-01-22 09:33:00,25428.0,25431.0,25417.0,25431.0,26325,F,2026.0,1.0,2026-01-22,09:33:59,I,,,14842360.0,
NIFTY,2026-01-22 09:34:00,25433.0,25438.0,25429.0,25430.2,53625,F,2026.0,1.0,2026-01-22,09:34:59,I,,,14839370.0,
