symbol,datetime,open,high,low,close,volume,DERIVATIVE_TYPE,YEAR,MONTH,DATE,TIME,expiry,option_type,strike,open_interest,ATM
NIFTY,2026-03-13 09:15:00,23499.0,23543.9,23482.0,23527.6,247780,F,2026.0,3.0,2026-03-13,09:15:59,I,,,18300555.0,
NIFTY,2026-03-13 09:16:00,23525.1,23545.6,23518.0,23520.0,134095,F,2026.0,3.0,2026-03-13,09:16:59,I,,,18339230.0,
NIFTY,2026-03-13 09:17:00,23520.0,23530.0,23515.1,23522.4,41990,F,2026.0,3.0,2026-03-13,09:17:59,I,,,18339230.0,
NIFTY,2026-03-13 09:18:00,23522.4,23537.5,23520.0,23525.0,52455,F,2026.0,3.0,2026-03-13,09:18:59,I,,,18339230.0,
NIFTY,2026-03-13 09:19:00,23525.0,23525.0,23511.9,23519.0,47840,F,2026.0,3.0,2026-03-13,09:19:59,I,,,18347745.0,
NIFTY,2026-03-13 09:20:00,23519.0,23519.0,23496.0,23496.8,58175,F,2026.0,3.0,2026-03-13,09:20:59,I,,,18347745.0,
NIFTY,2026-03-13 09:21:00,23496.0,23523.6,23494.0,23520.4,63895,F,2026.0,3.0,2026-03-13,09:21:59,I,,,18347745.0,
NIFTY,2026-03-13 09:22:00,23520.4,23523.0,23505.0,23509.9,38285,F,2026.0,3.0,2026-03-13,09:22:59,I,,,18402345.0,
NIFTY,2026-03-13 09:23:00,23509.9,23510.2,23492.5,23500.0,73060,F,2026.0,3.0,2026-03-13,09:23:59,I,,,18402345.0,
NIFTY,2026-03-13 09:24:00,23500.0,23512.1,23495.0,23507.0,18005,F,2026.0,3.0,2026-03-13,09:24:59,I,,,18402345.0,
NIFTY,2026-03-13 09:25:00,23507.0,23511.3,23500.0,23510.4,32175,F,2026.0,3.0,2026-03-13,09:25:59,I,,,18460000.0,
NIFTY,2026-03-13 09:26:00,23508.3,23525.2,23507.4,23525.0,79690,F,2026.0,3.0,2026-03-13,09:26:59,I,,,18460000.0,
NIFTY,2026-03-13 09:27:00,23525.0,23549.0,23523.6,23548.9,60255,F,2026.0,3.0,2026-03-13,09:27:59,I,,,18460000.0,
NIFTY,2026-03-13 09:28:00,23548.9,23553.4,23540.0,23550.0,44135,F,2026.0,3.0,2026-03-13,09:28:59,I,,,18478135.0,
NIFTY,2026-03-13 09:29:00,23550.0,23555.3,23544.4,23550.0,65130,F,2026.0,3.0,2026-03-13,09:29:59,I,,,18478135.0,
